Rank|Song|Total Points|Number Ones|Total Listeners
465|Kacey Musgraves - Slow Burn|24.0|0|5
465|Lauv - There's No Way (feat. Julia Michaels)|24.0|0|5
465|Tove Styrke - Sway|24.0|0|5
469|Mitski - Me and My Husband|24.0|0|4
469|No Rome - Narcissist (feat. The 1975)|24.0|0|4
469|Young Thug - Sin (feat. Jaden Smith)|24.0|0|4
472|xxxtentacion - SAD!|24.0|1|3
473|Alessia Cara - Growing Pains|24.0|0|3
473|Camila Cabello - Something's Gotta Give|24.0|0|3
473|Daniel Caesar - Who Hurt You?|24.0|0|3
473|Mitski - Francis Forever|24.0|0|3
473|Pharrell Williams & Camila Cabello - Sangria Wine|24.0|0|3
473|Robyn - Dancing on My Own|24.0|0|3
479|Lights - We Were Here|24.0|1|2
480|Bon Iver - 33 “GOD”|24.0|0|2
480|Hailee Steinfeld - Capital Letters|24.0|0|2
480|Mitski - Humpty|24.0|0|2
483|Lorde - Homemade Dynamite|23.5|0|6
484|Carly Rae Jepsen - The One|23.5|0|5
484|Denzel Curry - Black Balloons (feat. Twelve'len & GoldLink)|23.5|0|5
486|Clarence Clarity - CC-Wave|23.5|0|4
486|NoName - Self|23.5|0|4
486|Panic! at The Disco - King Of The Clouds|23.5|0|4
486|St. Vincent - Savior (Piano Version)|23.5|0|4
490|Conan Gray - Generation Why|23.5|1|3
490|Sheck Wes - Vetements Socks|23.5|1|3
492|Joji - CAN'T GET OVER YOU (feat. Clams Casino)|23.5|0|3
492|MNEK - Girlfriend|23.5|0|3
494|Lupe Fiasco - The Show Goes On|23.5|1|2
495|Fifth Harmony - Angel|23.5|0|2
495|Powers Pleasant - Please Forgive (feat. Denzel Curry, IDK, Zombie Juice & ZillaKami)|23.5|0|2
495|Ryn Weaver - Reasons Not To Die - Demo|23.5|0|2
498|Kero Kero Bonito - Outside|23.0|0|12
499|Lil' Wayne - Dedicate|23.0|0|6
500|Taylor Swift - I Know Places|23.0|1|5
501|Sharon Van Etten - Comeback Kid|23.0|1|4
502|Jonas Blue - Rise|23.0|0|4
503|Drake - Can't Take A Joke|23.0|1|3
503|RÜFÜS DU SOL - Underwater|23.0|1|3
505|Khalid - OTW (feat. 6LACK & Ty Dolla $ign)|23.0|0|3
506|French Montana - No Stylist (feat. Drake)|23.0|1|2
506|Red Velvet - 피카부 Peek-a-Boo|23.0|1|2
508|Mura Masa & NAO - Complicated|23.0|0|2
508|Petit biscuit - Safe|23.0|0|2
510|Maggie Rogers - Give A Little|22.5|0|7
511|Kacey Musgraves - Love Is A Wild Thing|22.5|1|4
512|Carly Rae Jepsen - Let's Get Lost|22.5|0|4
512|Lady Gaga - Alejandro|22.5|0|4
512|Mitski - A Pearl|22.5|0|4
512|Rina Sawayama - Cherry - Ryan Hemsworth Remix|22.5|0|4
516|The xx - Islands|22.5|1|3
517|5 Seconds Of Summer - Lie To Me|22.5|0|3
517|Carly Rae Jepsen - Curiosity|22.5|0|3
517|Taylor Swift - Wonderland|22.5|0|3
