Rank|Song|Total Points|Number Ones|Total Listeners
220|Rosalía - DI MI NOMBRE - Cap.8: Éxtasis|43.5|0|3
221|Khalid - Suncity (feat. Empress Of)|43.0|0|10
222|Lady Gaga - Alejandro|43.0|0|7
223|Allie X - Casanova|43.0|0|6
224|Louis The Child - Breaking News (with RAYE)|43.0|0|4
225|Shawn Mendes & Zedd - Lost In Japan (Remix)|42.5|1|7
225|Taylor Swift - Out Of The Woods|42.5|1|7
227|Carly Rae Jepsen - Warm Blood|42.5|0|7
228|LOOΠΔ / ODD EYE CIRCLE - Girl Front|42.5|0|5
228|Taylor Swift - All Too Well|42.5|0|5
230|Twenty One Pilots - Jumpsuit|42.0|0|9
231|David Guetta - Don't Leave Me Alone (feat. Anne-Marie)|41.5|0|5
231|Kelsea Ballerini - Fun and Games|41.5|0|5
233|Snail Mail - Pristine|41.5|1|3
234|Julia Holter - I WOULD RATHER SEE|41.0|0|8
235|Ella Mai - Trip|41.0|0|7
235|Rina Sawayama - Cyber Stockholm Syndrome|41.0|0|7
237|French Montana - No Stylist (feat. Drake)|41.0|0|5
238|Phoebe Ryan - Heart Attack (feat. Tove Lo)|40.5|0|8
239|Carly Rae Jepsen - Boy Problems|40.0|0|9
240|Young Thug - High (feat. Elton John)|40.0|0|6
241|Kiiara - How Can You Love Me|40.0|0|5
242|Ariana Grande - Better Off|39.5|0|8
242|Julia Holter - Another Dream|39.5|0|8
244|Troye Sivan - Bloom|39.5|0|5
245|Troye Sivan - Dance To This (feat. Ariana Grande)|39.0|0|9
246|Mariah Carey - GTFO|39.0|0|5
247|Julia Holter - In Gardens' Muteness|38.5|0|9
248|Lady Gaga - Before I Cry|38.5|0|6
249|Troye Sivan - Revelation (From "Boy Erased")|38.5|0|5
250|Lorde - Supercut|38.0|0|10
251|BLACKPINK - AS IF IT'S YOUR LAST|38.0|0|7
251|Charli XCX - 5 In The Morning|38.0|0|7
253|Kendrick Lamar & SZA - All The Stars|38.0|2|5
254|Loona - Hi High|38.0|0|5
255|lil Mosey - Noticed|38.0|1|4
256|Lana Del Rey - Cherry|38.0|0|3
257|Julia Holter - Underneath The Moon|37.5|0|9
258|Khalid - Saturday Nights|37.5|1|6
259|Post Malone - Better Now|37.5|0|5
260|Red Velvet - Bad Boy|37.5|1|4
261|Lany - Thru These Tears|37.5|0|4
261|slayyyter - Candy|37.5|0|4
263|Billie Eilish - you should see me in a crown|37.0|0|7
264|Nao - Curiosity|37.0|1|5
265|Calvin Harris & Sam Smith - Promises|37.0|0|5
266|Carly Rae Jepsen - Gimmie Love|36.5|0|9
267|Nao - Saturn (feat. Kwabs)|36.5|0|7
268|King Princess - Talia|36.5|0|4
