Rank|Song|Total Points|Number Ones|Total Listeners
329|Ariana Grande - Dangerous Woman|27.5|0|6
329|Sophie - Ponyboy|27.5|0|6
331|Denzel Curry - Black Balloons (feat. Twelve'len & GoldLink)|27.5|0|5
332|Iglooghost - Mei Mode|27.5|0|4
333|Britney Spears - Womanizer|27.5|0|3
333|P!nk - So What|27.5|0|3
333|SF9 - Now or Never|27.5|0|3
333|Tove Lo - Hey You Got Drugs?|27.5|0|3
337|Eleni Foureira - Fuego|27.5|1|2
338|Carly Rae Jepsen - When I Needed You|27.0|0|7
339|Rina Sawayama - Ordinary Superstar|27.0|0|6
340|Charlie Puth - Attention|27.0|0|5
340|CHVRCHES - Get Out|27.0|0|5
342|Denzel Curry - Vengeance (feat. JPEGMAFIA & ZillaKami)|27.0|0|4
343|Moses Sumney - Rank & File|27.0|0|3
343|Rosalía - MALAMENTE - Cap.1: Augurio|27.0|0|3
345|bazzi - 3:15|27.0|1|2
345|Clairo - Pretty Girl|27.0|1|2
345|Danny L Harle - 1UL|27.0|1|2
345|Kanye West - Gone|27.0|1|2
349|Lorde - Buzzcut Season|27.0|0|2
350|Charli XCX - Vroom Vroom|26.5|0|10
351|Travi$ Scott - Butterfly Effect|26.5|0|7
352|Iglooghost - Niteracer|26.5|1|5
353|Mac Miller - Come Back To Earth|26.5|0|5
353|Paramore - Misery Business|26.5|0|5
355|Kesha - Let 'Em Talk|26.5|1|4
356|CupcakKe - Blackjack|26.5|0|4
356|Katy Perry - Roulette|26.5|0|4
358|Loud Luxury - Body|26.5|1|3
359|Arctic Monkeys - Do I Wanna Know?|26.5|0|3
359|Panic! at The Disco - Say Amen (Saturday Night)|26.5|0|3
359|Paramore - Proof|26.5|0|3
362|Nicki Minaj - Anaconda|26.5|1|2
362|STRAY KIDS - MY PACE|26.5|1|2
362|ZHU - Coming Home|26.5|1|2
365|Carly Rae Jepsen - This Kiss|26.0|0|5
365|Charli XCX - Femmebot (feat. Dorian Electra & Mykki Blanco)|26.0|0|5
367|Coolio - Gangsta's Paradise|26.0|1|4
367|Silk City - Loud|26.0|1|4
369|Sufjan Stevens - Mystery Of Love|26.0|1|3
370|Ariana Grande - Greedy|26.0|0|3
370|Foxing - Nearer My God|26.0|0|3
370|TWICE - TT|26.0|0|3
370|Zayn - Too Much (feat. Timbaland)|26.0|0|3
374|88Rising - Midsummer Madness|26.0|0|2
374|Amy Shark - I Got You|26.0|0|2
376|Carly Rae Jepsen - Fever|25.5|0|8
377|LSD - Genius|25.5|0|7
378|Taylor Swift - Long Live|25.5|0|4
379|Kimbra - Lightyears|25.5|0|3
379|Paramore - Playing God|25.5|0|3
381|Let's Eat Grandma - Donnie Darko|25.5|0|2
382|Carly Rae Jepsen - I Didn't Just Come Here To Dance|25.0|0|5
382|Charli XCX - Boys|25.0|0|5
384|Allie X - Paper Love|25.0|0|4
384|Frank Ocean - Pink + White|25.0|0|4
384|Kacey Musgraves - Velvet Elvis|25.0|0|4
384|Lykke Li - jaguars in The air|25.0|0|4
384|Trippie Redd - UKA UKA|25.0|0|4
389|Lykke Li - Last Piece|25.0|1|3
389|Madonna - Sorry|25.0|1|3
391|Hyolyn - See Sea|25.0|0|3
391|Muna - Crying On The Bathroom Floor|25.0|0|3
391|Paramore - Grow Up|25.0|0|3
