Rank|Song|Total Points|Number Ones|Total Listeners
340|WJSN - SAVE ME, SAVE YOU|26.5|0|2
342|Juice WRLD - Lucid Dreams|26.0|0|6
342|Taylor Swift - Wildest Dreams|26.0|0|6
344|Ariana Grande - Get Well Soon|26.0|0|5
344|Eric Church - Heart Like A Wheel|26.0|0|5
344|Janelle Monáe - Pynk (feat. Grimes)|26.0|0|5
344|Pinegrove - Portal|26.0|0|5
348|Taylor Swift - Delicate (Seeb Remix)|26.0|0|4
349|5 Seconds Of Summer - Ghost Of You|26.0|1|3
350|BTS - Butterfly|26.0|0|3
350|Kendrick Lamar - i|26.0|0|3
352|Panic! at The Disco - Roaring 20s|26.0|1|2
353|The Strokes - Hard To Explain|26.0|0|2
354|Seulgi - Wow Thing|25.5|0|4
355|Denzel Curry - Percs|25.5|1|3
356|Lany - Run|25.5|0|3
357|Sampha - (No One Knows Me) Like The Piano|25.5|0|2
357|Taylor Swift - 22|25.5|0|2
357|Travi$ Scott - NC-17|25.5|0|2
360|Ariana Grande - Into You|25.0|0|9
361|Drake - Nice For What|25.0|0|7
362|Clarence Clarity - Tru(e) Love|25.0|0|6
363|xxxtentacion - SAD!|25.0|1|4
364|bazzi - Beautiful (feat. Camila Cabello)|25.0|0|4
364|Charli XCX - ILY2|25.0|0|4
366|Tove Lo - True Disaster|25.0|0|3
367|Emma Blackery - Icarus|25.0|1|2
368|Alice Chater - Hourglass|25.0|0|2
368|Hippo Campus - Bubbles|25.0|0|2
368|Robyn - Cobrastyle|25.0|0|2
368|Sabrina Carpenter - Alien|25.0|0|2
372|Kero Kero Bonito - If I'd Known|24.5|0|7
373|BROCKHAMPTON - VIVID|24.5|0|6
374|Camila Cabello - Real Friends|24.5|0|5
374|Eric Church - Monsters|24.5|0|5
376|Sheck Wes - Jiggy On The Shits|24.5|0|4
377|Red Velvet - Power Up|24.5|1|3
378|Billie Eilish - idontwannabeyouanymore|24.5|0|3
379|Pinegrove - Darkness|24.0|0|6
380|Eric Church - Higher Wire|24.0|0|5
380|Lany - Thru These Tears|24.0|0|5
382|Sheck Wes - Fuck Everybody|24.0|0|4
383|LIL UZI VERT - XO TOUR Llif3|24.0|0|3
383|Tiffany Young - Teach You|24.0|0|3
385|Beck - Colors|24.0|0|2
385|ESTRONS - Killing Your Love|24.0|0|2
385|Hippo Campus - Doubt|24.0|0|2
385|Lana Del Rey - Gods & Monsters|24.0|0|2
385|Lauren Aquilina - Psycho|24.0|0|2
385|Riton - Fake ID|24.0|0|2
391|The Killers - Mr. Brightside|23.5|0|8
392|FKA twigs - Give Up|23.5|0|3
392|Grimes - Oblivion|23.5|0|3
392|Janelle Monáe - Django Jane|23.5|0|3
392|Kanye West - No More Parties In LA|23.5|0|3
392|Kero Kero Bonito - Rest Stop|23.5|0|3
392|OutKast - Ms. Jackson|23.5|0|3
398|AdriAnne Lenker - Terminal Paradise|23.5|0|2
398|Gallant - TOOGOODTOBETRUE (feat. Sufjan Stevens & Rebecca Sugar)|23.5|0|2
398|Khalid - OTW (feat. 6LACK & Ty Dolla $ign)|23.5|0|2
398|Post Malone - Stay|23.5|0|2
402|Ariana Grande - borderline (feat. Missy Elliott)|23.0|0|6
403|Frank Ocean - nights|23.0|0|5
403|Post Malone - Ball For Me (feat. Nicki Minaj)|23.0|0|5
405|Camila Cabello - Consequences (Orchestra)|23.0|0|4
405|Eric Church - Drowning Man|23.0|0|4
407|Iggy Azalea - Kream (feat. Tyga)|23.0|1|3
408|Aurora - It Happened Quiet|23.0|0|3
408|Lorde - Tennis Court|23.0|0|3
408|Nina Nesbitt - Loyal To Me|23.0|0|3
408|Phoebe Ryan - Heart Attack (feat. Tove Lo)|23.0|0|3
412|Pabllo Vittar - Trago Seu Amor de Volta (feat. Dilsinho)|23.0|1|2
412|Tyler, The Creator & A$AP Rocky - Potato Salad|23.0|1|2
414|Against The Current - Almost Forgot|23.0|0|2
414|Aurora - Infections Of a Different Kind|23.0|0|2
414|Lorde - Hard Feelings/Loveless|23.0|0|2
414|Robyn - Cry When You Get Older|23.0|0|2
418|Lil' Wayne - Let It All Work Out|22.5|0|5
419|Kero Kero Bonito - Swimming|22.5|0|4
419|Kids See Ghosts - Feel The Love|22.5|0|4
